fly a kite,放风筝,/flˈa‍ɪ ɐ kˈa‍ɪt/,I often fly a kite with my friends.,我经常和朋友一起放风筝。,
go swimming,去游泳,/ɡˌə‍ʊ swˈɪmɪŋ/,I often go swimming with my friends.,我经常和朋友一起去游泳。,
play baseball,打棒球,/plˈe‍ɪ bˈe‍ɪsbɔːl/,I often play baseball with my friends.,我经常和朋友一起打棒球。,
play sports,做运动,/plˈe‍ɪ spˈɔːts/,I often play sports with my friends.,我经常和朋友一起做运动。,
go fishing,去钓鱼,/ɡˌə‍ʊ fˈɪʃɪŋ/,I often go fishing with my friends.,我经常和朋友一起去钓鱼。,
boating,划船,/bˈə‍ʊtɪŋ/,We went boating on the lake.,我们在湖上划船了。,
roller skating,轮滑,/ɹˈə‍ʊlə skˈe‍ɪtɪŋ/,We talked about roller skating in class today.,我们今天在课堂上谈到了轮滑。,
skating,滑冰,/skˈe‍ɪtɪŋ/,We go skating in winter.,我们冬天去滑冰。,
skiing,滑雪,/skˈiːɪŋ/,Skiing is my favourite winter sport.,滑雪是我最喜欢的冬季运动。,n. 滑雪。go skiing 去滑雪
go to the park,去公园,/ɡˌə‍ʊ tə ðə pˈɑːk/,I often go to the park with my friends.,我经常和朋友一起去公园。,
see films,看电影,/sˈiː fˈɪlmz/,I often see films with my friends.,我经常和朋友一起看电影。,
climb a hill,爬山,/klˈa‍ɪm ɐ hˈɪl/,I often climb a hill with my friends.,我经常和朋友一起爬山。,
go for a picnic,去野餐,/ɡˌə‍ʊ fəɹə pˈɪknɪk/,I often go for a picnic with my friends.,我经常和朋友一起去野餐。,
take photos,拍照,/tˈe‍ɪk fˈə‍ʊtə‍ʊz/,I often take photos with my friends.,我经常和朋友一起拍照。,
feed animals,喂动物,/fˈiːd ˈanɪmə‍lz/,I often feed animals with my friends.,我经常和朋友一起喂动物。,
Christmas,圣诞节,/kɹˈɪsməs/,I want to learn more about Christmas.,我想更多地了解圣诞节。,n. 圣诞节(12月25日)。Merry Christmas! 圣诞快乐！
Chinese New Year,春节,/t‍ʃa‍ɪnˈiːz njˈuː jˈi‍ə/,I want to learn more about Chinese New Year.,我想更多地了解春节。,
Children's Day,儿童节,/t‍ʃˈɪldɹənz dˈe‍ɪ/,I want to learn more about Children's Day.,我想更多地了解儿童节。,
Father's Day,父亲节,/fˈɑːðəz dˈe‍ɪ/,I want to learn more about Father's Day.,我想更多地了解父亲节。,
Mother's Day,母亲节,/mˈʌðəz dˈe‍ɪ/,I want to learn more about Mother's Day.,我想更多地了解母亲节。,
National Day,国庆节,/nˈaʃənə‍l dˈe‍ɪ/,I want to learn more about National Day.,我想更多地了解国庆节。,
Teachers' Day,教师节,/tˈiːt‍ʃəz dˈe‍ɪ/,I want to learn more about Teachers' Day.,我想更多地了解教师节。,
Tree Planting Day,植树节,/tɹˈiː plˈantɪŋ dˈe‍ɪ/,I want to learn more about Tree Planting Day.,我想更多地了解植树节。,
