regard as,认为……是……,/rɪˈɡɑːd æz/,Many people regard dogs as family members.,许多人把狗视为家庭成员。,phrase. regard A as B 把A视为B
glad,高兴的,/ɡlˈæd/,I am glad to see you again.,我很高兴再次见到你。,adj. 高兴的。be glad to do sth.
proud,骄傲的；自豪的,/prˈaʊd/,Her parents are proud of her.,她的父母为她感到自豪。,adj. 自豪的；骄傲的
be proud of,为……感到自豪,/biː praʊd əv/,You should be proud of your progress.,你应该为自己的进步感到自豪。,phrase. 为……感到自豪
pride,自豪；骄傲,/prˈaɪd/,She felt great pride in her son's success.,她为儿子的成功感到非常自豪。,n. 自豪；骄傲。proud adj. 自豪的
take pride in,以……为傲,/teɪk praɪd ɪn/,We take pride in our work.,我们为自己的工作感到自豪。,phrase. 为……感到自豪
all kinds of,各种各样的,/ɔːl kaɪndz əv/,The shop sells all kinds of books.,这家商店出售各种各样的书。,phrase. 各种各样的。后接可数名词复数或不可数名词
free,免费的；自由的；空闲的,/frˈi/,Admission to the museum is free.,这家博物馆免费入场。,adj. 免费的；自由的；空闲的
allow,允许,/əlˈaʊ/,My parents allow me to use the computer.,我的父母允许我使用电脑。,v. 允许。allow sb. to do sth.
law,法律,/lˈɔ/,Everyone must obey the law.,每个人都必须遵守法律。,n. 法律；法规
punish,惩罚,/pˈʌnɪʃ/,The teacher will not punish you for an honest mistake.,老师不会因无心之失而惩罚你。,v. 惩罚。punish sb. for sth.
senior,高级的；年长的,/sˈinjər/,She is a senior manager in the company.,她是公司的高级经理。,adj. 高级的；年长的；资深的
junior,地位较低的；年幼的,/dʒˈunjər/,He started work as a junior reporter.,他刚工作时是一名初级记者。,adj. 初级的；职位较低的；年幼的
meal,餐；一餐,/mˈil/,Breakfast is the most important meal of the day.,早餐是一天中最重要的一餐。,n. 一餐；饭
cost,花费；费用,/kˈɑst/,The new computer will cost a lot of money.,这台新电脑会花很多钱。,v. 花费；n. 费用。cost-cost-cost
company,公司；陪伴,/kˈʌmpəni/,She works for a large company.,她在一家大公司工作。,n. 公司；陪伴
have to,不得不；必须,/ˈhæv tuː/,I have to finish my homework tonight.,我今晚必须完成作业。,phrase. 不得不；必须。后接动词原形
especially,尤其；特别,/əspˈɛʃli/,"I like fruit, especially oranges.",我喜欢水果，尤其是橙子。,adv. 尤其；特别
finally,终于；最后,/fˈaɪnəli/,We finally arrived at the station.,我们终于到达了车站。,adv. 最后；终于
fail,失败；未能做到；不及格,/fˈeɪl/,Do not be afraid to fail.,不要害怕失败。,v. 失败；未能做到；不及格
