Canada,加拿大,/ˈkæn.ə.də/,I want to visit Canada one day.,我想有一天去加拿大。,"**词性**: 名词 (n.)

**释义**: 北美洲国家，首都是渥太华。"
Washington D.C.,华盛顿特区,/ˈwɒʃ.ɪŋ.tən diː siː/,The White House is in Washington D.C.,白宫在华盛顿特区。,"**词性**: 名词 (n.)

**释义**: 美国的首都。"
Toronto,多伦多,/təˈrɒn.toʊ/,Toronto is a big city in Canada.,多伦多是加拿大的一个大城市。,"**词性**: 名词 (n.)

**释义**: 加拿大最大的城市。"
weekend,周末,/ˌwiːkˈend/,What do you usually do on the weekend?,你周末通常做什么？,"**词性**: 名词 (n.)

**释义**: 一周的最后两天，即星期六和星期日。"
excited,兴奋的,/ɪkˈsaɪ.tɪd/,I'm so excited about the trip!,我对这次旅行太兴奋了！,"**词性**: 形容词 (adj.)

**释义**: 感到非常高兴和激动的。"
summer,夏天,/ˈsʌm.ər/,We go swimming in summer.,我们夏天去游泳。,"**词性**: 名词 (n.)

**释义**: 一年四季中最热的季节。"
rainy,下雨的,/ˈreɪ.ni/,It's a rainy day today.,今天是下雨天。,"**词性**: 形容词 (adj.)

**释义**: 有很多雨的，多雨的。"
clothes,衣服,/kloʊðz/,I need to wash my clothes.,我需要洗衣服。,"**词性**: 名词 (n.)

**释义**: 衣服的总称，人们穿在身上的东西。"
jacket,夹克衫,/ˈdʒæk.ɪt/,Put on your jacket. It's cold outside.,穿上你的夹克衫。外面很冷。,"**词性**: 名词 (n.)

**释义**: 一种短上衣，通常有拉链或扣子。"
umbrella,雨伞,/ʌmˈbrel.ə/,Don't forget your umbrella!,别忘了你的雨伞！,"**词性**: 名词 (n.)

**释义**: 下雨时用来挡雨的工具。"
mother,母亲,/ˈmʌð.ər/,My mother is a teacher.,我妈妈是一名老师。,"**词性**: 名词 (n.)

**释义**: 妈妈。"
artist,画家,/ˈɑːr.tɪst/,She wants to be an artist when she grows up.,她长大想当画家。,"**词性**: 名词 (n.)

**释义**: 画家，艺术家，从事艺术创作的人。"
scientist,科学家,/ˈsaɪ.ən.tɪst/,The scientist made a great discovery.,这位科学家做出了伟大的发现。,"**词性**: 名词 (n.)

**释义**: 从事科学研究的人。"
saleswoman,女售货员,/ˈseɪlzˌwʊm.ən/,The saleswoman helped me find a nice dress.,女售货员帮我找到了一条漂亮的裙子。,"**词性**: 名词 (n.)

**释义**: 在商店里卖东西的女性。"
play badminton,打羽毛球,,Let's play badminton after school.,放学后我们打羽毛球吧。,"**词性**: 动词短语 (v. phrase)

**释义**: 进行羽毛球运动。"
February,二月,/ˈfeb.ru.er.i/,February is the shortest month of the year.,二月是一年中最短的月份。,"**词性**: 名词 (n.)

**释义**: 一年中的第二个月。"
September,九月,/sepˈtem.bər/,School starts in September.,九月开学。,"**词性**: 名词 (n.)

**释义**: 一年中的第九个月，通常是开学的月份。"
November,十一月,/noʊˈvem.bər/,Thanksgiving is in November.,感恩节在十一月。,"**词性**: 名词 (n.)

**释义**: 一年中的第十一个月。"
go skating,去滑冰,,We often go skating in winter.,我们冬天经常去滑冰。,"**词性**: 动词短语 (v. phrase)

**释义**: 去进行滑冰运动。"
read books,读书,,I like to read books before bed.,我喜欢睡前读书。,"**词性**: 动词短语 (v. phrase)

**释义**: 阅读书籍。"
collect stamps,集邮,,My grandpa likes to collect stamps.,我爷爷喜欢集邮。,"**词性**: 动词短语 (v. phrase)

**释义**: 收集邮票作为爱好。"
jump rope,跳绳,,The girls are jumping rope in the playground.,女孩们在操场上跳绳。,"**词性**: 动词短语 (v. phrase)

**释义**: 用绳子跳跃的运动。"
careless,粗心的,/ˈker.ləs/,Don't be so careless with your homework.,做作业不要这么粗心。,"**词性**: 形容词 (adj.)

**释义**: 不仔细的，马虎的。"
helpful,乐于助人的,/ˈhelp.fəl/,She is very helpful to her classmates.,她对同学们很乐于助人。,"**词性**: 形容词 (adj.)

**释义**: 愿意帮助别人的。"
popular,受欢迎的,/ˈpɑː.pjə.lər/,He is very popular at school.,他在学校很受欢迎。,"**词性**: 形容词 (adj.)

**释义**: 被很多人喜欢的。"
university,大学,/ˌjuː.nɪˈvɜː.sə.ti/,I want to go to university in the future.,我将来想上大学。,"**词性**: 名词 (n.)

**释义**: 提供高等教育的学校。"
cinema,电影院,/ˈsɪn.ə.mə/,Let's go to the cinema this weekend.,这个周末我们去电影院吧。,"**词性**: 名词 (n.)

**释义**: 放映电影的地方。"
airport,机场,/ˈer.pɔːrt/,We arrived at the airport early.,我们很早到了机场。,"**词性**: 名词 (n.)

**释义**: 飞机起飞和降落的地方。"
sports centre,体育中心,,There is a big sports centre near my home.,我家附近有一个大的体育中心。,"**词性**: 名词短语 (n. phrase)

**释义**: 进行各种体育运动的场所。"
crossroads,十字路口,/ˈkrɒs.roʊdz/,Turn left at the crossroads.,在十字路口左转。,"**词性**: 名词 (n.)

**释义**: 两条路交叉的地方。"
across,在……对面,/əˈkrɒs/,The library is across from the school.,图书馆在学校对面。,"**词性**: 介词 (prep.)

**释义**: 在……的对面（across from）。"
south,南,/saʊθ/,The park is south of the school.,公园在学校的南边。,"**词性**: 名词 (n.) / 形容词 (adj.)

**释义**: 方向之一，与北相对。"
go straight,直走,,Go straight and you will see the hospital.,直走你就会看到医院。,"**词性**: 动词短语 (v. phrase)

**释义**: 沿着直线方向前进，不转弯。"
playground,操场,/ˈpleɪ.ɡraʊnd/,The children are playing on the playground.,孩子们在操场上玩。,"**词性**: 名词 (n.)

**释义**: 学校里供学生活动和运动的场地。"
behind,在……后面,/bɪˈhaɪnd/,The cat is hiding behind the door.,猫躲在门后面。,"**词性**: 介词 (prep.)

**释义**: 在……的后面。"
Wednesday,周三,/ˈwenz.deɪ/,We have a music class on Wednesday.,我们周三有音乐课。,"**词性**: 名词 (n.)

**释义**: 星期三，一周的第三天。"
Saturday,周六,/ˈsæt.ər.deɪ/,I play football every Saturday.,我每周六踢足球。,"**词性**: 名词 (n.)

**释义**: 星期六，周末的第一天。"
boring,无聊的,/ˈbɔːr.ɪŋ/,The movie was so boring.,这部电影太无聊了。,"**词性**: 形容词 (adj.)

**释义**: 使人感到无趣的，令人厌烦的。"
watch cartoons,看动画片,,Children love to watch cartoons.,孩子们喜欢看动画片。,"**词性**: 动词短语 (v. phrase)

**释义**: 观看卡通动画节目。"
beautiful,美丽的,/ˈbjuː.tɪ.fəl/,What a beautiful flower!,多么美丽的花！,"**词性**: 形容词 (adj.)

**释义**: 非常好看的，漂亮的。"
thin,苗条的,/θɪn/,She is tall and thin.,她又高又苗条。,"**词性**: 形容词 (adj.)

**释义**: 身材纤细的，苗条的。"
straight,直的,/streɪt/,Draw a straight line.,画一条直线。,"**词性**: 形容词 (adj.)

**释义**: 没有弯曲的，笔直的。"
play the piano,弹钢琴,,She can play the piano very well.,她钢琴弹得很好。,"**词性**: 动词短语 (v. phrase)

**释义**: 弹奏钢琴乐器。"
visit,参观,/ˈvɪz.ɪt/,We will visit the museum tomorrow.,我们明天去参观博物馆。,"**词性**: 动词 (v.)

**释义**: 去某个地方看看，参观访问。"
watch films,看电影,,I like to watch films with my friends.,我喜欢和朋友们一起看电影。,"**词性**: 动词短语 (v. phrase)

**释义**: 观看电影。"
have a picnic,去野餐,,Let's have a picnic in the park.,我们去公园野餐吧。,"**词性**: 动词短语 (v. phrase)

**释义**: 在户外一起吃东西，享受大自然。"
teacher,老师,/ˈtiː.tʃər/,Our teacher is very kind.,我们的老师很和蔼。,"**词性**: 名词 (n.)

**释义**: 在学校里教学生的人。"
theatre,剧院,/ˈθɪə.tər/,We went to the theatre to see a play.,我们去剧院看了一场演出。,"**词性**: 名词 (n.)

**释义**: 表演戏剧、歌剧等的地方。"
stadium,（露天）体育场,/ˈsteɪ.di.əm/,The football match is at the stadium.,足球比赛在体育场举行。,"**词性**: 名词 (n.)

**释义**: 露天的大型体育比赛场地。"
live,居住；生活,/lɪv/,I live in Beijing with my family.,我和家人住在北京。,"**词性**: 动词 (v.)

**释义**: 住在某个地方；过某种生活。"
quite,很；相当,/kwaɪt/,The movie was quite good.,这部电影相当不错。,"**词性**: 副词 (adv.)

**释义**: 程度副词，表示""相当、很""。"
scarf,围巾,/skɑːrf/,She wore a red scarf in winter.,她冬天围了一条红围巾。,"**词性**: 名词 (n.)

**释义**: 围在脖子上用来保暖或装饰的布条。"
pupil,小学生,/ˈpjuː.pəl/,There are forty pupils in our class.,我们班有四十个学生。,"**词性**: 名词 (n.)

**释义**: 小学生，学生（尤指小学生）。"
arrive,到达,/əˈraɪv/,We arrived at school on time.,我们准时到了学校。,"**词性**: 动词 (v.)

**释义**: 到达某个地方。"
meet,迎接；遇见；会面,/miːt/,Nice to meet you!,很高兴认识你！,"**词性**: 动词 (v.)

**释义**: 遇见某人；迎接；会面。"
wardrobe,衣柜,/ˈwɔːr.droʊb/,She put her coat in the wardrobe.,她把外套放进了衣柜。,"**词性**: 名词 (n.)

**释义**: 用来存放衣服的大柜子。"
show...around,带领……参观,,Let me show you around our school.,让我带你参观我们的学校。,"**词性**: 动词短语 (v. phrase)

**释义**: 带领某人到处看看，参观某个地方。"
Queen's Park,女王公园,,We visited Queen's Park last weekend.,我们上周末参观了女王公园。,"**词性**: 专有名词 (proper n.)

**释义**: 加拿大多伦多的一个著名公园。"
art gallery,画廊；艺术馆,/ˈɑːrt ˌɡæl.ər.i/,There are many beautiful paintings in the art gallery.,画廊里有很多漂亮的画。,"**词性**: 名词短语 (n. phrase)

**释义**: 展示和售卖艺术作品的场所。"
public library,公共图书馆,/ˈpʌb.lɪk ˈlaɪ.brer.i/,I borrowed some books from the public library.,我从公共图书馆借了一些书。,"**词性**: 名词短语 (n. phrase)

**释义**: 面向公众开放的图书馆，可以免费借阅书籍。"
downtown,闹市区；市中心,/ˌdaʊnˈtaʊn/,Let's go downtown to do some shopping.,我们去市中心购物吧。,"**词性**: 名词 (n.) / 副词 (adv.)

**释义**: 城市的商业中心区域。"
Lake Ontario,安大略湖,,Lake Ontario is one of the Great Lakes.,安大略湖是五大湖之一。,"**词性**: 专有名词 (proper n.)

**释义**: 北美五大湖之一，位于加拿大和美国之间。"
library,图书馆,/ˈlaɪ.brər.i/,I like to read books in the library.,我喜欢在图书馆看书。,"**词性**: 名词 (n.)

**释义**: 收藏书籍供人借阅和阅读的场所。"
grocery,杂货店,/ˈɡroʊ.sər.i/,My mum goes to the grocery every day.,我妈妈每天去杂货店。,"**词性**: 名词 (n.)

**释义**: 出售食品和日常用品的小商店。"
restaurant,餐馆,/ˈres.tər.ɑːnt/,We had dinner at a Chinese restaurant.,我们在一家中餐馆吃了晚饭。,"**词性**: 名词 (n.)

**释义**: 人们去吃饭的地方，饭店。"
square,广场,/skwer/,There are many people in the square.,广场上有很多人。,"**词性**: 名词 (n.)

**释义**: 城市中宽阔的公共活动场地。"
around,在……周围,/əˈraʊnd/,We walked around the park.,我们在公园里散步。,"**词性**: 介词 (prep.)

**释义**: 围绕着，在……的周围。"
between,在……之间,/bɪˈtwiːn/,The bookshop is between the bank and the cinema.,书店在银行和电影院之间。,"**词性**: 介词 (prep.)

**释义**: 在两者之间。"
third,第三,/θɜːrd/,Turn left at the third crossroads.,在第三个十字路口左转。,"**词性**: 序数词 (num.)

**释义**: 排列顺序中的第三个。"
supermarket,超市,/ˈsuː.pər.mɑːr.kɪt/,We buy fruit and vegetables at the supermarket.,我们在超市买水果和蔬菜。,"**词性**: 名词 (n.)

**释义**: 大型的自选商店，出售各种食品和日用品。"
hockey,曲棍球,/ˈhɑː.ki/,He plays hockey every weekend.,他每个周末都打曲棍球。,"**词性**: 名词 (n.)

**释义**: 一种用弯棍击球的团队运动。"
play the violin,拉小提琴,,She can play the violin very well.,她小提琴拉得很好。,"**词性**: 动词短语 (v. phrase)

**释义**: 演奏小提琴乐器。"
go roller skating,去轮滑,,Let's go roller skating in the park.,我们去公园轮滑吧。,"**词性**: 动词短语 (v. phrase)

**释义**: 穿上轮滑鞋去滑行。"
do jigsaw puzzles,拼拼图,,I like to do jigsaw puzzles on rainy days.,下雨天我喜欢拼拼图。,"**词性**: 动词短语 (v. phrase)

**释义**: 把拼图的小碎片拼成完整的图案。"
ride a horse,骑马,,She learned to ride a horse last summer.,她去年夏天学会了骑马。,"**词性**: 动词短语 (v. phrase)

**释义**: 骑在马背上行走或奔跑。"
take photos,拍照,,We like to take photos when we travel.,我们旅行时喜欢拍照。,"**词性**: 动词短语 (v. phrase)

**释义**: 用相机或手机拍摄照片。"
row a boat,划船,,Let's row a boat on the lake.,我们去湖上划船吧。,"**词性**: 动词短语 (v. phrase)

**释义**: 用桨划动小船在水面行进。"
maths,数学,/mæθs/,I have a maths class on Monday.,我周一有数学课。,"**词性**: 名词 (n.)

**释义**: 关于数字和计算的学科（英式英语）。"
music,音乐,/ˈmjuː.zɪk/,I love listening to music.,我喜欢听音乐。,"**词性**: 名词 (n.)

**释义**: 由乐器演奏或人声演唱产生的美妙声音。"
science,科学,/ˈsaɪ.əns/,Science is my favourite subject.,科学是我最喜欢的科目。,"**词性**: 名词 (n.)

**释义**: 研究自然和世界规律的学科。"
always,总是,/ˈɔːl.weɪz/,I always brush my teeth before bed.,我睡前总是刷牙。,"**词性**: 副词 (adv.)

**释义**: 每次都，一直，总是。"
never,从不,/ˈnev.ər/,She never eats fast food.,她从不吃快餐。,"**词性**: 副词 (adv.)

**释义**: 一次也没有，从来不。"
hobby,爱好,/ˈhɑː.bi/,My hobby is collecting stamps.,我的爱好是集邮。,"**词性**: 名词 (n.)

**释义**: 业余时间喜欢做的事情。"
