passage,n.（文章等的）一节，一段；通道；走廊,/pˈæsədʒ/,This passage tells a story about friendship.,这段文章讲述了一个关于友谊的故事。,
will,n.意志，遗嘱,/wˈɪl/,Her strong will helped her finish the race.,她坚强的意志帮助她完成了比赛。,
paragraph,n.（文章的）段落,/pˈærəɡrˌæf/,Please read the first paragraph aloud.,请大声朗读第一段。,
social,a.社会的；社交的,/sˈoʊʃəl/,Joining a club can improve your social skills.,参加社团可以提高你的社交能力。,
just,ad.刚才；恰好；不过；仅a.公正的,/dʒˈʌst/,I just finished my homework.,我刚刚完成作业。,
stress,n.精神压力，心理负担v.强调，重读,/strˈɛs/,Too much homework can cause stress.,太多作业会造成压力。,
information,n.信息,/ˌɪnfərmˈeɪʃən/,You can find more information on this website.,你可以在这个网站上找到更多信息。,
research,n.研究，调查,/risˈɜrtʃ/,Our research shows that sleep is important.,我们的研究表明睡眠很重要。,
found,vt.成立，建立,/fˈaʊnd/,They hope to found a new reading club.,他们希望成立一个新的读书社。,
control,vt.&n.控制,/kəntrˈoʊl/,She can control the robot with her phone.,她可以用手机控制机器人。,
means,n.方法，手段；财产,/mˈinz/,Walking is a simple means of exercise.,步行是一种简单的锻炼方式。,
technology,n.技术,/tɛknˈɑlədʒi/,Modern technology makes communication easier.,现代技术使交流更加容易。,
likely,a.很可能的,/lˈaɪkli/,It is likely to rain this afternoon.,今天下午很可能下雨。,
part,n.部分；成分；角色；部件；零件a.局部的；部分的v.分离；分开；分割,/pˈɑrt/,Music is an important part of my life.,音乐是我生活中重要的一部分。,
attention,n.注意，关心,/ətˈɛnʃən/,Please pay attention to the road.,请注意道路情况。,
experience,n.经验；经历,/ɪkspˈɪriəns/,The school trip was a wonderful experience.,这次学校旅行是一次美好的经历。,
through,prep.穿（通）过;从始至终ad.穿(通)过;自始至终，全部,/θrˈu/,Sunlight came through the window.,阳光透过窗户照了进来。,
purpose,n.目的，意图,/pˈɜrpəs/,The purpose of this meeting is to solve the problem.,这次会议的目的是解决这个问题。,
effect,n.效果；作用,/ɪfˈɛkt/,Regular exercise has a good effect on your health.,经常锻炼对你的健康有良好作用。,
media,n.大众传播媒介,/mˈidiə/,The news spread quickly through social media.,这条消息通过社交媒体迅速传播。,
possible,a.可能的,/pˈɑsəbəl/,Is it possible to finish this today?,今天有可能完成这件事吗？,
future,n.将来,/fjˈutʃər/,She wants to be a doctor in the future.,她将来想成为一名医生。,
influence,n.&v.影响,/ˈɪnfluəns/,Parents have a strong influence on their children.,父母对孩子有很大的影响。,
university,n.大学,/jˌunəvˈɜrsəti/,My sister studies science at university.,我姐姐在大学学习科学。,
language,n.语言,/lˈæŋɡwədʒ/,English is a useful international language.,英语是一门有用的国际语言。,
science,n.科学，自然科学,/sˈaɪəns/,We did an interesting experiment in science class.,我们在科学课上做了一个有趣的实验。,
process,n./v.过程，加工，处理,/prˈɑsˌɛs/,Learning a language is a long process.,学习一门语言是一个漫长的过程。,
main,a.主要的,/mˈeɪn/,The main road is closed today.,主干道今天封闭了。,
mind,n.思想，想法v.介意，关心,/mˈaɪnd/,A strange thought came into my mind.,一个奇怪的念头出现在我的脑海中。,
explain,vt.解释，说明,/ɪksplˈeɪn/,Can you explain this question to me?,你能给我解释一下这道题吗？,
back,ad.回（原处）；向后a.后面的n.背后，后部；背v.支持,/bˈæk/,He went back to get his schoolbag.,他回去拿书包了。,
sense,n.感觉，意识,/sˈɛns/,I had a sense that something was wrong.,我感觉有什么地方不对劲。,
memory,n.回忆，记忆,/mˈɛməri/,The photo brought back a happy memory.,这张照片唤起了一段快乐的回忆。,
data,n.资料，数据,/dˈeɪtə/,The students collected data for their project.,学生们为项目收集了数据。,
lead,v.领导，带领n.铅,/lˈɛd/,Our teacher will lead us to the museum.,老师将带领我们去博物馆。,
certain,a.（未指明真实名称的）某…；确定的，无疑的；一定会…,/sˈɜrtən/,I am certain that she will come.,我确定她会来。,
create,vt.创造；造成,/kriˈeɪt/,We can create a poster for the school festival.,我们可以为校园节制作一张海报。,
live,vi.生活;居住;活着a.活的，活着的;实况，现场（直播）的,/lˈaɪv/,My grandparents live near the sea.,我的祖父母住在海边。,
encourage,vt.鼓励,/ɛnkˈɜrɪdʒ/,Good teachers encourage students to ask questions.,好老师鼓励学生提问。,
class,n.班级，等级,/klˈæs/,Our class won the basketball game.,我们班赢得了篮球比赛。,
mental,a.精神的；脑力的,/mˈɛntəl/,Enough sleep is important for mental health.,充足的睡眠对心理健康很重要。,
instead,ad.代替，顶替,/ɪnstˈɛd/,We walked to school instead of taking the bus.,我们没有坐公交车，而是步行去了学校。,
living,a.活着的n.生计,/lˈɪvɪŋ/,All living things need water.,所有生物都需要水。,
focus,v./n.集中（注意力，精力）于，焦点，中心点,/fˈoʊkəs/,Please focus on your homework.,请专心做作业。,
knowledge,n.知识，学问,/nˈɑlədʒ/,Reading gives us knowledge about the world.,阅读让我们了解世界。,
digital,a..数字的，数码的,/dˈɪdʒətəl/,She uses a digital camera to take photos.,她用数码相机拍照。,
environment,n.环境,/ɪnvˈaɪrənmənt/,We should protect the environment.,我们应该保护环境。,
deal,n.量，数额；交易,/dˈil/,The shop offered me a good deal on this bike.,商店给了我这辆自行车一个很划算的价格。,
physical,a.身体的；物理的,/fˈɪzɪkəl/,Swimming is good for your physical health.,游泳有益于身体健康。,
internet,n.互联网，英特网,/ˈɪntərnˌɛt/,We use the internet to search for information.,我们用互联网搜索信息。,
training,n.培训,/trˈeɪnɪŋ/,The team has football training every Friday.,球队每周五进行足球训练。,
performance,n.演出，表演,/pərfˈɔrməns/,The students gave a wonderful performance.,学生们带来了一场精彩的表演。,
share,vt.分享，共同使用,/ʃˈɛr/,I often share my lunch with my best friend.,我经常和最好的朋友分享午餐。,
term,n.学期;术语;条款;项,/tˈɜrm/,We will study Chinese history this term.,这学期我们将学习中国历史。,
culture,n.文化,/kˈʌltʃər/,Food is an important part of culture.,食物是文化的重要组成部分。,
increase,v.&n.增加，繁殖,/ɪnkrˈis/,Daily reading can increase your vocabulary.,每天阅读可以增加你的词汇量。,
set,vt.释放，安置n.装备，设备,/sˈɛt/,She set the books on the desk.,她把书放在了桌上。,
daily,a.每日的；日常的ad.每天n.日报,/dˈeɪli/,Walking the dog is part of my daily life.,遛狗是我日常生活的一部分。,
situation,n.形势，情况,/sˌɪtʃuˈeɪʃən/,We stayed calm in a difficult situation.,我们在困难的情况下保持了冷静。,
success,n.成功,/səksˈɛs/,Hard work is the key to success.,努力是成功的关键。,
common,a.普通，一般；共有的,/kˈɑmən/,It is common to see bikes in this city.,在这座城市看到自行车很常见。,
energy,n.精力，能量,/ˈɛnərdʒi/,A healthy breakfast gives me energy.,健康的早餐给我带来精力。,
thought,n.思考，思想;念头,/θˈɔt/,I had a sudden thought on my way home.,回家的路上，我突然有了一个念头。,
exercise,n.锻炼，做操；练习，习题vi.锻炼,/ˈɛksərsˌaɪz/,Regular exercise keeps us healthy.,经常锻炼使我们保持健康。,
task,n.任务，工作,/tˈæsk/,Our first task is to clean the classroom.,我们的第一项任务是打扫教室。,
role,n.角色,/rˈoʊl/,She played the role of a doctor in the play.,她在戏剧中扮演医生的角色。,
natural,a.自然的,/nˈætʃərəl/,The lake is famous for its natural beauty.,这个湖以其自然美景而闻名。,
video,n.录像，视频,/vˈɪdioʊ/,We watched a short video about space.,我们观看了一个关于太空的短视频。,
plastic,a.塑料的,/plˈæstɪk/,Please put the plastic bottles in this bin.,请把塑料瓶放进这个垃圾桶。,
simple,a.简单的，简易的,/sˈɪmpəl/,This question has a simple answer.,这个问题有一个简单的答案。,
special,a.特别的，专门的,/spˈɛʃəl/,We made a special card for our teacher.,我们为老师制作了一张特别的卡片。,
practice,n.练习,/prˈæktəs/,You need more practice to play the piano well.,要弹好钢琴，你需要更多练习。,
moment,n.片刻，瞬间,/mˈoʊmənt/,Please wait a moment outside.,请在外面稍等片刻。,
