passage,This passage tells a story about friendship.,这段文章讲述了一个关于友谊的故事。
will,Her strong will helped her finish the race.,她坚强的意志帮助她完成了比赛。
paragraph,Please read the first paragraph aloud.,请大声朗读第一段。
social,Joining a club can improve your social skills.,参加社团可以提高你的社交能力。
just,I just finished my homework.,我刚刚完成作业。
stress,Too much homework can cause stress.,太多作业会造成压力。
information,You can find more information on this website.,你可以在这个网站上找到更多信息。
research,Our research shows that sleep is important.,我们的研究表明睡眠很重要。
found,They hope to found a new reading club.,他们希望成立一个新的读书社。
control,She can control the robot with her phone.,她可以用手机控制机器人。
means,Walking is a simple means of exercise.,步行是一种简单的锻炼方式。
technology,Modern technology makes communication easier.,现代技术使交流更加容易。
likely,It is likely to rain this afternoon.,今天下午很可能下雨。
part,Music is an important part of my life.,音乐是我生活中重要的一部分。
attention,Please pay attention to the road.,请注意道路情况。
experience,The school trip was a wonderful experience.,这次学校旅行是一次美好的经历。
through,Sunlight came through the window.,阳光透过窗户照了进来。
purpose,The purpose of this meeting is to solve the problem.,这次会议的目的是解决这个问题。
effect,Regular exercise has a good effect on your health.,经常锻炼对你的健康有良好作用。
media,The news spread quickly through social media.,这条消息通过社交媒体迅速传播。
possible,Is it possible to finish this today?,今天有可能完成这件事吗？
future,She wants to be a doctor in the future.,她将来想成为一名医生。
influence,Parents have a strong influence on their children.,父母对孩子有很大的影响。
university,My sister studies science at university.,我姐姐在大学学习科学。
language,English is a useful international language.,英语是一门有用的国际语言。
science,We did an interesting experiment in science class.,我们在科学课上做了一个有趣的实验。
process,Learning a language is a long process.,学习一门语言是一个漫长的过程。
main,The main road is closed today.,主干道今天封闭了。
mind,A strange thought came into my mind.,一个奇怪的念头出现在我的脑海中。
explain,Can you explain this question to me?,你能给我解释一下这道题吗？
back,He went back to get his schoolbag.,他回去拿书包了。
sense,I had a sense that something was wrong.,我感觉有什么地方不对劲。
memory,The photo brought back a happy memory.,这张照片唤起了一段快乐的回忆。
data,The students collected data for their project.,学生们为项目收集了数据。
lead,Our teacher will lead us to the museum.,老师将带领我们去博物馆。
certain,I am certain that she will come.,我确定她会来。
create,We can create a poster for the school festival.,我们可以为校园节制作一张海报。
live,My grandparents live near the sea.,我的祖父母住在海边。
encourage,Good teachers encourage students to ask questions.,好老师鼓励学生提问。
class,Our class won the basketball game.,我们班赢得了篮球比赛。
mental,Enough sleep is important for mental health.,充足的睡眠对心理健康很重要。
instead,We walked to school instead of taking the bus.,我们没有坐公交车，而是步行去了学校。
living,All living things need water.,所有生物都需要水。
focus,Please focus on your homework.,请专心做作业。
knowledge,Reading gives us knowledge about the world.,阅读让我们了解世界。
digital,She uses a digital camera to take photos.,她用数码相机拍照。
environment,We should protect the environment.,我们应该保护环境。
deal,The shop offered me a good deal on this bike.,商店给了我这辆自行车一个很划算的价格。
physical,Swimming is good for your physical health.,游泳有益于身体健康。
internet,We use the internet to search for information.,我们用互联网搜索信息。
training,The team has football training every Friday.,球队每周五进行足球训练。
performance,The students gave a wonderful performance.,学生们带来了一场精彩的表演。
share,I often share my lunch with my best friend.,我经常和最好的朋友分享午餐。
term,We will study Chinese history this term.,这学期我们将学习中国历史。
culture,Food is an important part of culture.,食物是文化的重要组成部分。
increase,Daily reading can increase your vocabulary.,每天阅读可以增加你的词汇量。
set,She set the books on the desk.,她把书放在了桌上。
daily,Walking the dog is part of my daily life.,遛狗是我日常生活的一部分。
situation,We stayed calm in a difficult situation.,我们在困难的情况下保持了冷静。
success,Hard work is the key to success.,努力是成功的关键。
common,It is common to see bikes in this city.,在这座城市看到自行车很常见。
energy,A healthy breakfast gives me energy.,健康的早餐给我带来精力。
thought,I had a sudden thought on my way home.,回家的路上，我突然有了一个念头。
exercise,Regular exercise keeps us healthy.,经常锻炼使我们保持健康。
task,Our first task is to clean the classroom.,我们的第一项任务是打扫教室。
